feature_set,model,accuracy,precision_macro,recall_macro,f1_macro,train_time_sec
full,Random Forest,0.9927,0.9935,0.9941,0.9938,1.164
full,Decision Tree,0.9904,0.9916,0.9926,0.9921,0.071
full,Logistic Regression,0.9509,0.9323,0.9385,0.9352,0.682
full,KNN,0.8948,0.8485,0.8695,0.8567,0.0
full,Naive Bayes,0.8194,0.8164,0.847,0.7943,0.02
realistic,Decision Tree,0.9667,0.9566,0.956,0.9563,0.112
realistic,Random Forest,0.966,0.9469,0.9579,0.9521,1.133
realistic,Logistic Regression,0.9408,0.9142,0.9281,0.9204,0.564
realistic,KNN,0.8981,0.8522,0.874,0.8607,0.011
realistic,Naive Bayes,0.8267,0.8217,0.8486,0.7987,0.004
